
5,5,5,5,5
3,5/22/2023,3,3,3,3
KKKK,5/3/2023,LAPICES,9.99,30,19.99
 ,5/22/2023, , , , 
 ,5/22/2023, , , , 
 ,5/22/2023, , , , 
 6,5/25/2023, 6, 6, 6, 6,
 7,5/25/2023, 7, 7, 7, 7,
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 2, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
 4,5/25/2023, 4, 4, 4, 4,
 5,5/25/2023, 5, 5, 5, 5,
 6,5/25/2023, 6, 66, 6, 6,
 7,5/25/2023, 7, 7, 7, 7,
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 22, 2, 2, 2,
 3,5/25/2023, 3, 3, 3, 3,
 4,5/25/2023, 4, 44, 4, 4,
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 2, 22, 2,
 3,5/25/2023, 3, 3, 3, 3,
1,5/25/2023,1,1,1,1,
1,5/25/2023,11,1,1,1,
2,5/25/2023, 1, 1, 1, 1,1
 3,5/25/2023, 3, 3, 3, 3,1
 4,5/25/2023, 4, 4, 4, 4,1
 5,5/25/2023, 5, 5, 55, 5,1
1,5/25/2023,1,1,1,1,
 2,5/25/2023, 2, 1, 1, 1,
 3,5/25/2023, 3, 3, 3, 3,
1,5/25/2023,1,1,1,1,
2,5/25/2023, 1, 1, 1, 1,2
 3,5/25/2023, 3, 3, 3, 3,2
 4,5/25/2023, 4, 4, 4, 4,2
 5,5/25/2023, 5, 5, 5, 5,2
 6,5/25/2023, 6, 6, 6, 6,2
GNKFGLN77,6/1/2023,LAPICES,10.99,100,20.99,
 JDNOIRO5,6/1/2023,MOCHILAS, 20, 500, 50.99,
GDJFOIDJF6,6/1/2023,LAPICES,10.99,70,20.99,
 H,6/1/2023, H,80.99,66,120.99,
H,6/1/2023,U,7,7,7,
 7,6/1/2023, 7, 7, 7, 7,
YAYIS,6/1/2023,YAYIS,9.99,100,20.99,
 KEILA,6/1/2023, LAIPCES, 20.99, 66, 30.99,
FFGB,6/1/2023,GGBG,665,66,666,
 H,6/1/2023, HFGG, 55, 66, 55,
 HH,6/1/2023, HGYT, 55, 33, 55,
 JGKGG,6/1/2023, TG, 55, 66, 44,
GGG,6/1/2023,GG,66,66,66,
 HH,6/1/2023, HH, 66, 66, 66,
G,6/1/2023,G,6,6,6,
 H,6/1/2023, H, 6, 6, 6,
 DD,6/1/2023, FG, 6, 6, 6,8
T,6/1/2023,Y,6,6,6,
 HH,6/1/2023, H, 5, 5, 5,
G,6/1/2023,G,5,5,5,
L,6/1/2023,G, 5, 5, 5,
LHH,6/1/2023,HH,99,99,99,
 F,6/1/2023, GFG, 55, 5, 55,
F,6/1/2023,G,6,6,6,
 KK,6/1/2023, THKLH, 7,6, 6,6
G,6/1/2023,G,5,5,5,
 F,6/1/2023, L, 3, 2, 2,
 JJJ,6/1/2023, APICES, 100, 60, 200,5
A,6/1/2023, NSK, 1, 111, 1,10
 WW,6/1/2023, 11,11, 111, 11,10
FFF,6/1/2023,FF,55,5555,55,
 GG,6/1/2023, GG, 44, 44, 44,
 LL,6/1/2023, 5, 5, 5, 5,
GG,6/1/2023,G,6,6,6,
 JJ,6/1/2023, H, 66, 666, 66,
 YY,6/1/2023, HH, 99, 99, 99,
H,6/1/2023,HH,6,6,6,
 H,6/1/2023, H, 7, 7, 7,
 J,6/1/2023, J, 7, 7, 7,
B,6/1/2023,B,66,66,66,
 JJ,6/1/2023, HH, 55, 55, 55,
FF,6/1/2023,FF,55,555,55,
 HH,6/1/2023, HHH, 55, 55, 55,
FF,6/1/2023,FFF,5,5,5,
 G,6/1/2023, G, 5, 5, 5,
48,6/2/2023,JJ,7,9,7,
 H,6/2/2023, H, 6, 6, 6,
HHH5J,6/3/2023,LAPICES,55,50,55,
 TTT,6/3/2023, TT, 55,55, 55,
GG,6/3/2023,GG,44,44,44,
 FF,6/3/2023, FF, 44, 44, 44,
YAYIS,6/7/2023,YADIRA,19.99,5,20.99,
0001,6/8/2023,PRODUCTOUNO,20,10,25,
001,6/8/2023,PRODUCTO,20,10,25,
 0002,6/8/2023, HOLA, 30,5, 35,
01,6/8/2023,PRODUCTO,20,10,24,
 02,6/8/2023, PRODUCTO2, 10, 15, 25,
01,6/8/2023,PRODUCTO,25,10,30,
 002,6/8/2023, PRODUCTO2, 20, 10, 25,
 003,6/8/2023, PRODUCTO3, 40, 20, 45,
1,6/8/2023,1,11,11,11,
 2,6/8/2023, 22, 22, 22, 22,
1,6/8/2023,1,1,1,1,
 2,6/8/2023, 2, 2, 2, 2,
 3,6/8/2023, 3, 3, 3, 3,
 4,6/8/2023, 4, 4, 4, 4,
 002,6/8/2023, 1, 1, 1, 1,1
